bibtype,title,volume,issn,doi,abstract,number,journal,author,year,keywords,pages,language,month,url,booktitle,address,series,isbn,publisher,editor
InProceedings,Prototyping '{Clasp}': {Implications} for designing digital technology for and with adults with autism,NA,NA,10.1145/2598510.2600880,"This paper presents Clasp, a novel tactile anxiety management, communication and peer support tool developed with, by and for adults diagnosed with High Functioning Autism (HFA). Clasp connects a tactile anxiety coping device to a smartphone, which records and communicates anxiety levels for self-feedback and reflection. By adopting an iterative prototyping approach, we gained a deep insight into anxiety experienced by adults with HFA and evaluated the role of digital technology in its management. The paper describes our development approach, which we argue is unique to this multidisciplinary and multiorganizational design context involving hard-to-reach and vulnerable groups. Finally, we reflect on lessons learned from this process and share a set of design implications for the future development of digital tools that, like Clasp, are specifically designed with, by and for adults with HFA. Copyright Â© 2014 ACM.",NA,NA,W. Simm and M.A. Ferrario and A. Gradinar and J. Whittle,2014,"Diseases, Autism, Digital devices, Anxiety, Social networking (online), Communication, Design implications, Development approach, Digital technologies, Haptic, Iterative prototyping, Vulnerable groups",345--354,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904498388&doi=10.1145%2f2598510.2600880&partnerID=40&md5=76d2cf7fd30d6b155612887bd2295784,"Proceedings of the {Conference} on {Designing} {Interactive} {Systems}: {Processes}, {Practices}, {Methods}, and {Techniques}, {DIS}",NA,NA,NA,NA,NA
Article,Guided and unguided {CBT} for social anxiety disorder and/or panic disorder via the {Internet} and a smartphone application: {Study} protocol for a randomised controlled trial,14,NA,10.1186/1745-6215-14-437,"Background: Smartphone technology presents a novel and promising opportunity to extend the reach of psychotherapeutic interventions by moving selected parts of the therapy into the real-life situations causing distress. This randomised controlled trial will investigate the effects of a transdiagnostic, Internet-administered cognitive behavioural (iCBT) self-help program for anxiety, supplemented with a smartphone application. The effect of added therapist support will also be studied. Methods/Design: One hundred and fifty participants meeting diagnostic criteria for social anxiety disorder and/or panic disorder will be evenly randomised to either one of three study groups: 1, smartphone-supplemented iCBT with therapist support; 2, smartphone-supplemented iCBT without therapist support; or 3, an active waiting list control group with delayed treatment. Primary outcome measure will be the Generalised Anxiety Disorder 7-item self-rating scale. Secondary measures include other anxiety, depression and quality of life measures. In addition to pre- and post-treatment measurements, the study includes two mid-treatment (days 24 and 48) and two follow-up assessments (12 and 36 months) to assess rapid and long-term effects. Discussion: To our knowledge, this is the first study to investigate the effectiveness of smartphone-supplemented iCBT for anxiety disorders. Hence, the findings from this trial will constitute great advancements in the burgeoning and promising field of smartphone-administered psychological interventions. Limitations are discussed. Trial registration: Clinicaltrials.gov: NCT01963806. Â© 2013 Lindner et al.; licensee BioMed Central Ltd.",1,Trials,P. Lindner and E. Ivanova and K.H. Ly and G. Andersson and P. Carlbring,2013,"adult, controlled study, depression, female, human, male, anxiety, article, randomized controlled trial, major clinical study, follow up, anxiety disorder, Internet, treatment outcome, young adult, mobile phone, Humans, hospital admission, quality of life, scoring system, Anxiety Disorders, cognitive therapy, Cognitive Therapy, generalized anxiety disorder, Mobile Applications, Computer-Assisted, Time Factors, Psychiatric Status Rating Scales, Treatment Outcome, social phobia, Therapy, self concept, Research Design, Sweden, Clinical Protocols, panic, Panic Disorder, Cellular Phone, Social Behavior Disorders, Questionnaires, psychotherapist",NA,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890373731&doi=10.1186%2f1745-6215-14-437&partnerID=40&md5=6d44d359344d39b0ecdb66e9207eb8bf,NA,NA,NA,NA,NA,NA
InProceedings,Development of a mobile application for people with panic disorder as augmentation for an internet-based intervention,NA,NA,NA,"Smartphone technology has recently gained attention in the field of E-Mental Health research and mobile applications for measuring health-related aspects as well as mobile mental health interventions have emerged. However, little work has been done on leveraging mobile technology in combination with internet-based interventions. We argue, that mobile applications can not only enrich mental health treatments but also foster the commercial success of E-Mental Health applications. To this end, we have developed GET.ON PAPP, a mobile application for panic disorder that integrates an internet-based treatment into daily life. In this work, we present the development and structure of GET.ON PAPP and a perspective for its evaluation. Â© 2013 Polish Information Processing Society.",NA,NA,S.K. Stegemann and L. Ebenfeld and D. Lehr and M. Berking and B. Funk,2013,"Internet, Health, Computer applications, Mental health, Mobile applications, Information systems, Mobile computing, Mobile Technology, Computer science, Mental health treatments, Daily lives, Internet based, Health research, ITS evaluation",1331--1337,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892495861&partnerID=40&md5=538ed7c5ceab852771deb97f8eb43ce0,"2013 {Federated} {Conference} on {Computer} {Science} and {Information} {Systems}, {FedCSIS} 2013",NA,NA,NA,NA,NA
InProceedings,Enhancing adherence to cognitive behavioral therapy for insomnia through machine and social persuasion,NA,NA,10.1109/GreenCom-iThings-CPSCom.2013.135,"Cognitive behavioral therapy for insomnia (CBT-I) is a treatment that focuses on psychological and behavioral factors. Although the CBT-I has proven efficacy, yet 32\%-V89\% of patients fail to consistently follow recommendations. The critical challenge of CBT-I is how to enhance the adherence of patients to therapy. In this study, we propose a persuasion method which integrates machine-generated persuasion and socially-generated persuasion for enhancing adherence, and we design a mobile application Win-Win ASleep (WWaS). We performed a 6-week study to evaluate the usability of WWaS on enhancing behavioral and recording adherence in comparison to a paper-based diary. Results show that machine-generated persuasion and socially-generated persuasion enhanced the adherence of patients in different manner, and WWaS assists users keeping a sleep diary accurate and complete. These higher quality records of sleep diary benefits the therapy. We also discuss strategies and provide recommendations for designing similar mobile applications to promote healthy behavior. Â© 2013 IEEE.",NA,NA,Y.-X. Chen and H.-C. Chen and L.-X. Chen and J.-W. Hu and C.-K. Shie and Y.-S. Lin and P. Borade and C.-C. Yeh and H.-H. Lin and S.-S. Chiang and Y.-C. Chen and W.-Z. Sun and Y.-P. Hung,2013,"Internet, Behavioral research, Mobile phones, Computer applications, Patient treatment, Mobile applications, Cognitive-behavioral therapies, Mobile computing, Insomnia, Cognitive-behavior therapies, Persuasion, Adherence, Behavioral factors, Critical challenges",750--757,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893499201&doi=10.1109%2fGreenCom-iThings-CPSCom.2013.135&partnerID=40&md5=3db417f1b9d190c280ba6d1ca82ee22a,"Proceedings - 2013 {IEEE} {International} {Conference} on {Green} {Computing} and {Communications} and {IEEE} {Internet} of {Things} and {IEEE} {Cyber}, {Physical} and {Social} {Computing}, {GreenCom}-{iThings}-{CPSCom} 2013",NA,NA,NA,NA,NA
Article,The effectiveness of a suicide prevention app for indigenous {Australian} youths: {Study} protocol for a randomized controlled trial,14,NA,10.1186/1745-6215-14-396,"Background: Indigenous Australian youth (aged 15 to 34) have up to four times the risk of suicide compared with their non-Indigenous counterparts. Barriers to help-seeking include shame, feared loss of autonomy and negative attitudes towards healthcare providers. The use of mobile devices and apps continues to rise amongst young people, thus presenting opportunities to utilize these aids in overcoming help-seeking barriers. Apps have been shown to assist in several health-related areas, including weight loss and smoking cessation, although no apps have as yet been evaluated for suicide prevention. Moreover, there is a lack of research that scientifically evaluates suicide prevention interventions within Indigenous communities.Methods/Design: In this study, a recently developed self-help app will be evaluated in a randomized controlled trial. The intervention is based on acceptance and commitment therapy and mindfulness-based cognitive behavioural therapy. It is aimed at participants who have suicidal thoughts but who are not actively suicidal. In total, 150 participants will be randomly allocated to the intervention-condition (N = 75) or to the wait-list control condition (N = 75). Questionnaires will be completed at baseline, post-test and 6 weeks follow-up. The primary outcome measure is a reduction in frequency and intensity of suicidal thoughts. Secondary outcome measures are the reduction of depression, anxiety and impulsivity.Discussion: This study is the first to evaluate the effectiveness of a self-help app for suicidal thoughts amongst young Indigenous people. Several limitations and strengths of the design are discussed.Trial registration: Australian New Zealand Clinical Trials Registry (ANZCTR): ACTRN12613000104752. Â© 2013 Shand et al.; licensee BioMed Central Ltd.",1,Trials,F.L. Shand and R. Ridani and J. Tighe and H. Christensen,2013,"Adolescent, Adult, Humans, Suicide, Australia, Young Adult, Outcome Assessment (Health Care), Research Design, Clinical Protocols, Data Collection, Sample Size, Population Groups",NA,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887648459&doi=10.1186%2f1745-6215-14-396&partnerID=40&md5=1b1b96230b73d2f9198b757d60fe11ed,NA,NA,NA,NA,NA,NA
Article,"Impact of a mobile phone and web program on symptom and functional outcomes for people with mild-to-moderate depression, anxiety and stress: {A} randomised controlled trial",13,NA,10.1186/1471-244X-13-312,"Background: Mobile phone-based psychological interventions enable real time self-monitoring and self-management, and large-scale dissemination. However, few studies have focussed on mild-to-moderate symptoms where public health need is greatest, and none have targeted work and social functioning. This study reports outcomes of a CONSORT-compliant randomised controlled trial (RCT) to evaluate the efficacy of myCompass, a self-guided psychological treatment delivered via mobile phone and computer, designed to reduce mild-to-moderate depression, anxiety and stress, and improve work and social functioning.Method: Community-based volunteers with mild-to-moderate depression, anxiety and/or stress (N = 720) were randomly assigned to the myCompass program, an attention control intervention, or to a waitlist condition for seven weeks. The interventions were fully automated, without any human input or guidance. Participants' symptoms and functioning were assessed at baseline, post-intervention and 3-month follow-up, using the Depression, Anxiety and Stress Scale and the Work and Social Adjustment Scale.Results: Retention rates at post-intervention and follow-up for the study sample were 72.1\% (n = 449) and 48.6\% (n = 350) respectively. The myCompass group showed significantly greater improvement in symptoms of depression, anxiety and stress and in work and social functioning relative to both control conditions at the end of the 7-week intervention phase (between-group effect sizes ranged from d = .22 to d = .55 based on the observed means). Symptom scores remained at near normal levels at 3-month follow-up. Participants in the attention control condition showed gradual symptom improvement during the post-intervention phase and their scores did not differ from the myCompass group at 3-month follow-up.Conclusions: The myCompass program is an effective public health program, facilitating rapid improvements in symptoms and in work and social functioning for individuals with mild-to-moderate mental health problems.Trial registration: Australian New Zealand Clinical Trials Registry ACTRN 12610000625077. Â© 2013 Proudfoot et al.; licensee BioMed Central Ltd.",NA,BMC Psychiatry,J. Proudfoot and J. Clarke and M.-R. Birch and A.E. Whitton and G. Parker and V. Manicavasagar and V. Harrison and H. Christensen and D. Hadzi-Pavlovic,2013,"adult, controlled study, depression, Depression Anxiety Stress Scale, female, human, male, anxiety, article, aged, middle aged, randomized controlled trial, major clinical study, stress, follow up, disease severity, Internet, young adult, mobile phone, prediction, Adolescent, Adult, Female, Humans, Male, Middle Aged, mental disease, scoring system, social interaction, Aged, Australia, Computer-Assisted, Anxiety, Depression, Treatment Outcome, Therapy, Psychological, Stress, Self Care, Program Evaluation, Patient Compliance, Severity of Illness Index, computer program, Cellular Phone, Social Adjustment, community sample",NA,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887790730&doi=10.1186%2f1471-244X-13-312&partnerID=40&md5=a42ec1a52871e5df8e9b92ad138aa289,NA,NA,NA,NA,NA,NA
Article,Virtual reality and mobile phones in the treatment of generalized anxiety disorders: {A} phase-2 clinical trial,17,NA,10.1007/s00779-011-0467-0,"Several studies have demonstrated that exposure therapy - in which the patient is exposed to specific feared situations or objects that trigger anxiety - is an effective way to treat anxiety disorders. However, to overcome a number of limitations inherent in this approach - lack of full control of the situation, costs and time required, etc. - some therapists have started to add virtual reality (VR) to the in vivo exposure-based therapy, providing in-office, controlled exposure therapy. Compared to the in vivo exposure, VR Exposure Therapy (VRET) is completely controlled: the quality, the intensity and the frequency of the exposure are decided by the therapist, and the therapy can be stopped at any time if the patient does not tolerate it. Moreover, the flexibility of a virtual experience allows the patient to experience situations that are often much worse and more exaggerated than those that are likely to be encountered in real life. However, a critical issue underlying the use of VRET in the treatment of anxiety-related disorders is the lack of a virtual reality system in the patient's real-life context. In this paper, we present a clinical protocol for the treatment of Generalized Anxiety Disorders (GAD) based on the ubiquitous use of a biofeedback-enhanced VR system. The protocol includes the use of a mobile exposure system allowing patients to perform the virtual experience in an outpatient setting. A between-subjects study, involving 25 GAD patients, was carried out to verify the efficacy of the proposed approach. The clinical data in this pilot study seemed to support the efficacy of the ubiquitous approach. Â© 2011 Springer-Verlag London Limited.",2,Personal and Ubiquitous Computing,C. Repetto and A. Gaggioli and F. Pallavicini and P. Cipresso and S. Raspelli and G. Riva,2013,"Mobile devices, Mobile phones, Virtual reality, Patient treatment, Cellular telephones, Ubiquitous computing, Exposure therapy, Experiments, Real-life contexts, Biofeedback, Quality control, Clinical trial, Clinical protocols, Exposure system, Generalized anxiety disorders, Ubiquitous approach, Virtual reality system",253--260,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879687968&doi=10.1007%2fs00779-011-0467-0&partnerID=40&md5=6997655bf0def4128680bc334fd62077,NA,NA,NA,NA,NA,NA
Article,A novel approach to challenging {OCD} related beliefs using a mobile-app: {An} exploratory study,59,NA,10.1016/j.jbtep.2018.01.008,"Background and objectives: According to cognitive models, obsessive compulsive symptoms result from catastrophic misinterpretations of commonly occurring intrusive experiences and the use of counterproductive strategies to manage them. Obsessive Compulsive Disorder (OCD) related beliefs such as inflated responsibility, importance of thoughts and perfectionism increases the likelihood of such misinterpretations. Consistent with a growing body of literature supporting the usefulness of mobile delivered technologies in fostering cognitive behavior change, the present study assessed the effectiveness of a novel cognitive training exercise designed to challenge OCD-related beliefs. This mobile app training exercise consists of users having to pull statements challenging OCD beliefs towards themselves (downwards) and to throw away (push upwards) contra-productive self-statements. Methods: 36 third-year BA students started the trial. Twenty completed pre and post measures of OCD-beliefs, mood and OCD symptoms including relationship-obsessions. Participants were instructed to complete 3 min of daily training for a period of 15 days. Results: No significant differences were found between completers and non-completers on demographic and most symptom related measures at Time 1. Repeated-measures MANOVA of the 20 completers showed a significant reduction on all OCD symptoms measures and on OCD-beliefs. No significant reduction was found in depression symptoms. Regression analysis showed change in levels of OCD-beliefs was associated with reduction in OCD symptoms at Time 2 over and above OCD symptoms at Time 1. Limitations: The study is an open trial with non-clinical participants. Conclusions: This mobile delivered training exercise may be useful for the reduction and relapse prevention of OCD-related beliefs and symptoms. Â© 2018 Elsevier Ltd",NA,Journal of Behavior Therapy and Experimental Psychiatry,M. Roncero and A. Belloch and G. Doron,2018,"adult, anxiety assessment, Article, clinical effectiveness, clinical evaluation, cognition, cognitive behavioral therapy, cohort analysis, controlled clinical trial, controlled study, depression, Depression Anxiety Stress Scale, disease association, exploratory research, female, health belief, human, maladjustment, male, mobile application, mood, obsession, obsessive compulsive disorder, Obsessive Compulsive Inventory, open study, Partner Related Obsessive Compulsive Symptoms Inventory, proof of concept, Relationship Obsessive Compulsive Inventory, short form of the Obsessive Beliefs Questionnaire, symptom, undergraduate student",157--160,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041640563&doi=10.1016%2fj.jbtep.2018.01.008&partnerID=40&md5=3fe16fd90a2e6646ef7c221942e77979,NA,NA,NA,NA,NA,NA
Article,"Rationale, design and pilot feasibility results of a smartphone-assisted, mindfulness-based intervention for smokers with mood disorders: {Project} {mSMART} {MIND}",66,NA,10.1016/j.cct.2017.12.014,"Background: Although individuals with psychiatric disorders are disproportionately affected by cigarette smoking, few outpatient mental health treatment facilities offer smoking cessation services. In this paper, we describe the development of a smartphone-assisted mindfulness smoking cessation intervention with contingency management (SMI-CM), as well as the design and methods of an ongoing pilot randomized controlled trial (RCT) targeting smokers receiving outpatient psychiatric treatment. We also report the results of an open-label pilot feasibility study. Methods: In phase 1, we developed and pilot-tested SMI-CM, which includes a smartphone intervention app that prompts participants to practice mindfulness, complete ecological momentary assessment (EMA) reports 5 times per day, and submit carbon monoxide (CO) videos twice per day. Participants earned incentives if submitted videos showed CO â‰¤ 6 ppm. In phase 2, smokers receiving outpatient treatment for mood disorders are randomized to receive SMI-CM or enhanced standard treatment plus non-contingent CM (EST). Results: The results from the pilot feasibility study (N = 8) showed that participants practiced mindfulness an average of 3.4 times/day (â‰¥ 3 min), completed 72.3\% of prompted EMA reports, and submitted 68.0\% of requested CO videos. Participants reported that the program was helpful overall (M = 4.85/5) and that daily mindfulness practice was helpful for both managing mood and quitting smoking (Ms = 4.50/5). Conclusions: The results from the feasibility study indicated high levels of acceptability and satisfaction with SMI-CM. The ongoing RCT will allow evaluation of the efficacy and mechanisms of action underlying SMI-CM for improving cessation rates among smokers with mood disorders. Â© 2017 Elsevier Inc.",NA,Contemporary Clinical Trials,H. Minami and H.R. Brinkman and S. Nahvi and J.H. Arnsten and M. Rivera-Mindt and D.W. Wetter and E.L. Bloom and L.H. Price and C. Vieira and R. Donnelly and L.M. McClain and K.A. Kennedy and E. D'Aquila and M. Fine and D.E. McCarthy and J. {Graham Thomas} and J. Hecht and R.A. Brown,2018,"adult, Article, controlled study, female, human, clinical article, pilot study, carbon monoxide, ecological momentary assessment, feasibility study, middle aged, mindfulness, mood disorder, nicotine patch, outpatient care, patient compliance, patient counseling, patient satisfaction, program evaluation, randomized controlled trial, smoking, smoking cessation, smoking cessation program, videorecording",36--44,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041575549&doi=10.1016%2fj.cct.2017.12.014&partnerID=40&md5=fd8fb0f677a84d75cd63a3935f6fa886,NA,NA,NA,NA,NA,NA
Article,"An ecological momentary intervention for smoking cessation: {The} associations of just-in-time, tailored messages with lapse risk factors",78,NA,10.1016/j.addbeh.2017.10.026,"Background Smartphone apps can provide real-time, tailored interventions for smoking cessation. The current study examines the effectiveness of a smartphone-based smoking cessation application that assessed risk for imminent smoking lapse multiple times per day and provided messages tailored to current smoking lapse risk and specific lapse triggers. Methods Participants (N = 59) recruited from a safety-net hospital smoking cessation clinic completed phone-based ecological momentary assessments (EMAs) 5 times/day for 3 consecutive weeks (1 week pre-quit, 2 weeks post-quit). Risk for smoking lapse was estimated in real-time using a novel weighted lapse risk estimator. With each EMA, participants received messages tailored to current level of risk for imminent smoking lapse and self-reported presence of smoking urge, stress, cigarette availability, and motivation to quit. Generalized linear mixed model analyses determined whether messages tailored to specific lapse risk factors were associated with greater reductions in these triggers than messages not tailored to specific triggers. Results Overall, messages tailored to smoking urge, cigarette availability, or stress corresponded with greater reductions in those triggers than messages that were not tailored to specific triggers (p's = 0.02 to {\textbackslash}textless 0.001). Although messages tailored to stress were associated with greater reductions in stress than messages not tailored to stress, the association was non-significant (p = 0.892) when only moments of high stress were included in the analysis. Conclusions Mobile technology can be used to conduct real-time smoking lapse risk assessment and provide tailored treatment content. Findings provide initial evidence that tailored content may impact usersâ€™ urge to smoke, stress, and cigarette availability. Â© 2017 Elsevier Ltd",NA,Addictive Behaviors,E.T. HÃ©bert and E.M. Stevens and S.G. Frank and D.E. Kendzor and D.W. Wetter and M.J. Zvolensky and J.D. Buckner and M.S. Businelle,2018,"adult, Article, clinical effectiveness, controlled study, female, human, male, mobile application, self report, ecological momentary assessment, middle aged, smoking, smoking cessation, risk reduction, craving, emotional stress, recurrence risk, risk assessment, risk factor, safety net hospital",30--35,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032810592&doi=10.1016%2fj.addbeh.2017.10.026&partnerID=40&md5=2880bd4902773aa0d600a58f5ed20379,NA,NA,NA,NA,NA,NA
Article,Development and {Preliminary} {Feasibility} {Study} of a {Brief} {Behavioral} {Activation} {Mobile} {Application} ({Behavioral} {Apptivation}) to {Be} {Used} in {Conjunction} {With} {Ongoing} {Therapy},25,NA,10.1016/j.cbpra.2017.05.004,"Depressive symptoms are the most frequently treated psychiatric condition in the United States. Brief behavioral activation treatment for depression (BATD) is a popular, evidence-based psychotherapy with strong research support for the treatment of depression. In this paper, we describe the development and initial pilot feasibility testing of a BATD mobile application (Behavioral Apptivation) to be used by patients and therapists in conjunction with BATD therapy. We present information regarding the app development process as well as results from a small open-label feasibility trial of the app utilized in conjunction with individual BATD. We include a case series from the open-label trial highlighting how Behavioral Apptivation can be utilized in clinical practice. Â© 2017",1,Cognitive and Behavioral Practice,J. Dahne and J. Kustanowitz and C.W. Lejuez,2018,"Article, depression, human, mobile application, priority journal, pilot study, feasibility study, major depression, United States, behavior therapy, clinical practice, comorbidity, psychoeducation, psychotherapy, symptomatology",44--56,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021121213&doi=10.1016%2fj.cbpra.2017.05.004&partnerID=40&md5=b7378d8d2061a2383221709799979163,NA,NA,NA,NA,NA,NA
Article,"Digital peer-support platform (7Cups) as an adjunct treatment for women with postpartum depression: {Feasibility}, acceptability, and preliminary efficacy study",20,NA,10.2196/mhealth.9482,"Background: Peer support is considered to be an important framework of support for mothers experiencing postpartum depression (PPD); however, some barriers exist that may limit its use including peer availability and mothersï¿½ lack of time due to child care. Objective: This non-randomized study was designed to examine the feasibility, acceptance, and preliminary clinical outcomes of using 7 Cups of Tea (7Cups), a digital platform that delivers self-help tools and 24/7 emotional support delivered by trained volunteers, as an adjunct treatment for mothers diagnosed with PPD. Methods: Mothers with PPD were referred during intake to the study coach who provided guidance about 7Cups. 7Cups features included self-help tools and chats with trained volunteers who had experienced a perinatal mood disorder in their past. Acceptability was measured by examining self-reports and user engagement with the program. The primary outcome was the Edinburgh Postnatal Depression Scale (EPDS) change score between pre- and postintervention at 2 months, as collected in usual care by clinicians blinded to the study questions. Using a propensity score matching to control for potential confounders, we compared women receiving 7Cups to women receiving treatment as usual (TAU). Results: Participants (n=19) proactively logged into 7Cups for a median of 12 times and 175 minutes. Program use was mostly through the mobile app (median of mobile use 94\%) and between 18:00 and 08:00 when clinicians are unavailable (68\% of total program use time). Participants chatted with volunteers for a total of 3064 minutes and have indicated in their responses 0 instances in which they felt unsafe. Intent-to-treat analysis revealed that 7Cups recipients experienced significant decreases in EPDS scores (P{\textbackslash}textless.001, Cohen d=1.17). No significant difference in EPDS decrease over time was found between 7Cups and TAU, yet the effect size was medium favoring 7Cups (P=.05, Cohen d=0.58). Conclusions: This study supports using a computerized method to train lay people, without any in-person guidance or screening, and engage them with patients diagnosed with mental illness as part of usual care. The medium effect size (d=0.58) favoring the 7Cups group relative to TAU suggests that 7Cups might enhance treatment outcomes. A fully powered trial has to be conducted to examine this effect. ï¿½ Amit Baumel, Amanda Tinkelman, Nandita Mathur, John M Kane.",2,Journal of Medical Internet Research,A. Baumel and A. Tinkelman and N. Mathur and J.M. Kane,2018,NA,NA,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042122565&doi=10.2196%2fmhealth.9482&partnerID=40&md5=8f02f163b832a3b6d6ff2d682f44a1e3,NA,NA,NA,NA,NA,NA
Article,"User-centered design of learn to quit, a smoking cessation smartphone app for people with serious mental illness",20,NA,10.2196/games.8881,"Background: Smoking rates in the United States have been reduced in the past decades to 15\% of the general population. However, up to 88\% of people with psychiatric symptoms still smoke, leading to high rates of disease and mortality. Therefore, there is a great need to develop smoking cessation interventions that have adequate levels of usability and can reach this population. Objective: The objective of this study was to report the rationale, ideation, design, user research, and final specifications of a novel smoking cessation app for people with serious mental illness (SMI) that will be tested in a feasibility trial. Methods: We used a variety of user-centered design methods and materials to develop the tailored smoking cessation app. This included expert panel guidance, a set of design principles and theory-based smoking cessation content, development of personas and paper prototyping, usability testing of the app prototype, establishment of app's core vision and design specification, and collaboration with a software development company. Results: We developed Learn to Quit, a smoking cessation app designed and tailored to individuals with SMI that incorporates the following: (1) evidence-based smoking cessation content from Acceptance and Commitment Therapy and US Clinical Practice Guidelines for smoking cessation aimed at providing skills for quitting while addressing mental health symptoms, (2) a set of behavioral principles to increase retention and comprehension of smoking cessation content, (3) a gamification component to encourage and sustain app engagement during a 14-day period, (4) an app structure and layout designed to minimize usability errors in people with SMI, and (5) a set of stories and visuals that communicate smoking cessation concepts and skills in simple terms. Conclusions: Despite its increasing importance, the design and development of mHealth technology is typically underreported, hampering scientific innovation. This report describes the systematic development of the first smoking cessation app tailored to people with SMI, a population with very high rates of nicotine addiction, and offers new design strategies to engage this population. mHealth developers in smoking cessation and related fields could benefit from a design strategy that capitalizes on the role visual engagement, storytelling, and the systematic application of behavior analytic principles to deliver evidence-based content.",1,Journal of Medical Internet Research,R. Vilardaga and J. Rizo and E. Zeng and J.A. Kientz and R. Ries and C. Otis and K. Hernandez,2018,NA,NA,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041092605&doi=10.2196%2fgames.8881&partnerID=40&md5=d259c2f87a39c42bc4f7c7647a71774e,NA,NA,NA,NA,NA,NA
Article,Mobile and traditional cognitive behavioral therapy programs for generalized anxiety disorder: {A} cost-effectiveness analysis,13,NA,10.1371/journal.pone.0190554,"Background Generalized anxiety disorder (GAD) is a debilitating mental health illness that affects approximately 3.1\% of U.S. adults and can be treated with cognitive behavioral therapy (CBT). With the emergence of digital health technologies, mobile CBT may be a cost-effective way to deliver care. We developed an analysis framework to quantify the cost-effectiveness of internet-based CBT for individuals with GAD. As a case study, we examined the potential value of a new mobile-delivered CBT program for GAD. Methods We developed a Markov model of GAD health states combined with a detailed economic analysis for a cohort of adults with GAD in the U.S. In our case study, we used pilot program efficacy data to evaluate a mobile CBT program as either prevention or treatment only and compared the strategies to traditional CBT and no CBT. Traditional CBT efficacy was estimated from clinical trial results. We calculated discounted incremental costs and quality-adjusted life-years (QALYs) over the cohort lifetime. Case study results In the base case, for a cohort of 100,000 persons with GAD, we found that mobile CBT is cost-saving. It leads to a gain of 34,108 QALYs and 81,492 QALYs and a cost reduction of \$2.23 billion and \$4.54 billion when compared to traditional CBT and no CBT respectively. Results were insensitive to most model inputs and mobile CBT remained cost-saving in almost all scenarios. Limitations The case study was conducted for illustrative purposes and used mobile CBT efficacy data from a small pilot program; the analysis should be re-conducted once robust efficacy data is available. The model was limited in its ability to measure the effectiveness of CBT in combination with pharmacotherapy. Conclusions Mobile CBT may lead to improved health outcomes at lower costs than traditional CBT or no intervention and may be effective as either prevention or treatment. Â© 2018 Kumar et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",1,PLoS ONE,S. Kumar and M.J. Bell and J.L. Juusola,2018,"Article, clinical effectiveness, cognitive behavioral therapy, cohort analysis, human, cost effectiveness analysis, major clinical study, outcome assessment, anxiety disorder, Internet, United States, cost benefit analysis, Humans, Anxiety Disorders, cognitive therapy, Cognitive Therapy, Cohort Studies, cost control, Cost-Benefit Analysis, generalized anxiety disorder, health program, Markov chain, Markov Chains, procedures, quality adjusted life year",NA,English,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040059841&doi=10.1371%2fjournal.pone.0190554&partnerID=40&md5=47879d7a5c6b82c5130b084e7eb7025a,NA,NA,NA,NA,NA,NA
